212	ENVOYTEX	40	40.5	39.7	40	40.1	-0.1	87	1.5510	38,766
213	STANDBANKL	5	5.1	4.9	5	5	0	94	1.5240	304,220
214	WMSHIPYARD	8	8.2	8	8	8.2	-0.2	126	1.5070	186,759
215	PEOPLESINS	25.5	26.4	25	25.3	25.5	0	89	1.5020	59,135
216	CONFIDCEM	47.6	48.3	47.6	47.6	48	-0.4	121	1.4730	30,758
217	PROGRESLIF	50.8	53	49.5	50.8	51.7	-0.9	277	1.4710	28,514
218	POWERGRID	30.8	30.9	30.5	30.8	30.8	0	67	1.4640	47,644
219	PRAGATILIF	81.1	83.8	80.2	81.1	83	-1.9	126	1.4630	18,012
220	LRGLOBMF1	3.7	3.9	3.6	3.7	3.8	-0.1	21	1.4610	393,349
221	SINOBANGLA	38.9	39.6	38.6	38.9	38.7	0.2	116	1.4450	37,111
222	SOUTHEASTB	7.8	8	7.7	7.8	8	-0.2	121	1.4290	182,316
223	RAHIMAFOOD	67.7	69	67.4	67.7	68.2	-0.5	108	1.4250	21,081
224	AAMRANET	16.1	16.3	16	16.1	16.1	0	88	1.4110	87,367
225	SHYAMPSUG	132.5	135.9	132.5	132.5	132.5	0	124	1.3750	10,338
226	1JANATAMF	3.4	3.6	3.4	3.4	3.6	-0.2	69	1.3710	396,017
227	TRUSTBANK	19.2	19.5	19.1	19.2	19.3	-0.1	78	1.3560	70,556
228	POPULAR1MF	3.5	3.6	3.5	3.5	3.5	0	37	1.3430	383,713
229	AMBEEPHA	753	755	738.3	742.4	744.7	8.3	121	1.3150	1,763
230	IDLC	26.4	27.6	26.3	26.4	26.7	-0.3	135	1.3150	49,728
231	TRUSTB1MF	3.7	3.8	3.6	3.7	3.7	0	57	1.2740	344,467
232	NEWLINE	6.5	6.8	6.5	6.5	6.7	-0.2	128	1.2710	193,591
233	BSRMLTD	71.2	71.9	70.2	71.2	70.5	0.7	104	1.2430	17,490
234	METROSPIN	10.7	11	10.3	10.7	10.5	0.2	77	1.2290	115,872
235	ADVENT	13.2	13.4	13.1	13.2	13.4	-0.2	92	1.2170	91,946
236	PRIMEFIN	4.5	4.7	4.4	4.4	4.5	0	54	1.1920	266,593
237	DBH1STMF	4.4	4.5	4.3	4.4	4.4	0	50	1.1840	269,233
238	EBLNRBMF	3.7	3.8	3.7	3.7	3.7	0	29	1.1720	316,743
239	PRIMELIFE	31.5	32.2	31	31.3	31.5	0	110	1.1680	37,254
240	UPGDCL	116.8	118	116.8	117	117.6	-0.8	131	1.1330	9,664
241	TOSRIFA	18.5	18.8	18.4	18.5	18.5	0	120	1.1190	60,147
242	MARICO	2	2,348.4	2,348.3	2,348.3	2	-123.6	83	1.1150	475
243	NPOLYMER	26.8	27.3	26.7	26.8	26.6	0.2	113	1.1140	41,443
